participantId,surveyCode,time,age,gender,imageExperience,1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,1649679807422\bus_bicubic.png,1649679807422\bus_bilinear.png,1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_ogniewski.png,1649679807422\smolking_lab.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_srgb.png
1649679807422\bus_bilinear.png,1649679807422\bus_ogniewski.png,1649679807422\bus_ogniewski.png,35.79,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\bus_ogniewski.png,1649679807422\bus_bilinear.png,1649679807422\bus_ogniewski.png,22.729,31db90e1-a810-4892-bf95-7ea21809f1e4,1
1649679807422\bus_bicubic.png,1649679807422\bus_ogniewski.png,1649679807422\bus_bicubic.png,41.32,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\bus_ogniewski.png,1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,5.681,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\bus_bilinear.png,1649679807422\bus_lanczos3.png,1649679807422\bus_lanczos3.png,39.781,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_ogniewski.png,20.796,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,2.987,31db90e1-a810-4892-bf95-7ea21809f1e4,1
1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_bicubic.png,11.92,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_ogniewski.png,27.774,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_bilinear.png,2.124,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_lanczos3.png,40.72,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,8.501,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_lanczos3.png,4.19,31db90e1-a810-4892-bf95-7ea21809f1e4,1
1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_ogniewski.png,26.487,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_ogniewski.png,10.008,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\smolking_lab.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_lab.png,39.179,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\smolking_srgb.png,1649679807422\smolking_lab.png,1649679807422\smolking_lab.png,34.322,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\smolking_linrgb.png,1649679807422\smolking_srgb.png,1649679807422\smolking_srgb.png,11.39,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\smolking_srgb.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_srgb.png,10.166,31db90e1-a810-4892-bf95-7ea21809f1e4,1
1649679807422\snail_srgb.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,4.779,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\snail_linrgb.png,1.695,2fcffd32-14d6-4f47-8275-54345aaf7508,1
1649679807422\snail_lab.png,1649679807422\snail_srgb.png,1649679807422\snail_srgb.png,2.774,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\snail_linrgb.png,1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,3.218,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bird_bilinear.png,1649679807422\bird_bicubic.png,1649679807422\bird_bicubic.png,5.946,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bird_bicubic.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,3.936,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bird_bilinear.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bilinear.png,1.096,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bird_ogniewski.png,1649679807422\bird_bilinear.png,1649679807422\bird_ogniewski.png,2.535,2fcffd32-14d6-4f47-8275-54345aaf7508,1
1649679807422\bird_lanczos3.png,1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,1.081,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bird_lanczos3.png,1649679807422\bird_bicubic.png,1649679807422\bird_bicubic.png,1.512,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\bus_lanczos3.png,18.749,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bus_lanczos3.png,1649679807422\bus_bilinear.png,1649679807422\bus_lanczos3.png,6.731,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bus_ogniewski.png,1649679807422\bus_bilinear.png,1649679807422\bus_ogniewski.png,6.976,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bus_bicubic.png,1649679807422\bus_ogniewski.png,1649679807422\bus_bicubic.png,9.874,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bus_bicubic.png,1649679807422\bus_lanczos3.png,1649679807422\bus_lanczos3.png,2.543,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\bus_lanczos3.png,1649679807422\bus_bicubic.png,1649679807422\bus_lanczos3.png,1.311,2fcffd32-14d6-4f47-8275-54345aaf7508,1
1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_ogniewski.png,2.909,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1.754,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bilinear.png,1.185,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,1.237,2fcffd32-14d6-4f47-8275-54345aaf7508,1
1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bilinear.png,1.708,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bicubic.png,1.905,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bicubic.png,5.57,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,1.359,2fcffd32-14d6-4f47-8275-54345aaf7508,1
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bilinear.png,1649679807422\mushroom_bicubic.png,5.338,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bilinear.png,1649679807422\mushroom_bilinear.png,1.756,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_ogniewski.png,1.727,2fcffd32-14d6-4f47-8275-54345aaf7508,0
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_bicubic.png,3.183,2fcffd32-14d6-4f47-8275-54345aaf7508,0
